date,value,source,series_id
2014-01-01,14645,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2014-02-01,15611,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2014-03-01,15981,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2014-04-01,15101,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2014-05-01,18050,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2014-06-01,16132,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2014-07-01,18212,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2014-08-01,18843,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2014-09-01,16952,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2014-10-01,19341,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2014-11-01,20102,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2014-12-01,19117,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2015-01-01,16825,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2015-02-01,18224,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2015-03-01,20905,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2015-04-01,18741,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2015-05-01,21672,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2015-06-01,19404,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2015-07-01,21030,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2015-08-01,19103,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2015-09-01,20779,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2015-10-01,22916,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2015-11-01,18780,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2015-12-01,18788,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2016-01-01,15373,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2016-02-01,18957,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2016-03-01,20022,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2016-04-01,20734,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2016-05-01,20981,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2016-06-01,18561,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2016-07-01,22402,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2016-08-01,22337,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2016-09-01,19965,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2016-10-01,16738,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2016-11-01,19208,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2016-12-01,16843,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2017-01-01,13988,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2017-02-01,17980,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2017-03-01,17380,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
2017-04-01,16561,ABS,BA_GCCSA/1.1.9.1.100.10.AUS.M
