date,value,source,series_id
2014-01-01,11453.33540376,ABS,LF/M3.3.1599.20.AUS.M
2014-02-01,11478.8706398,ABS,LF/M3.3.1599.20.AUS.M
2014-03-01,11532.22697851,ABS,LF/M3.3.1599.20.AUS.M
2014-04-01,11537.92979751,ABS,LF/M3.3.1599.20.AUS.M
2014-05-01,11512.8569016,ABS,LF/M3.3.1599.20.AUS.M
2014-06-01,11528.76848328,ABS,LF/M3.3.1599.20.AUS.M
2014-07-01,11545.29227762,ABS,LF/M3.3.1599.20.AUS.M
2014-08-01,11548.79706334,ABS,LF/M3.3.1599.20.AUS.M
2014-09-01,11547.1261186,ABS,LF/M3.3.1599.20.AUS.M
2014-10-01,11542.35994343,ABS,LF/M3.3.1599.20.AUS.M
2014-11-01,11542.05490874,ABS,LF/M3.3.1599.20.AUS.M
2014-12-01,11598.78480503,ABS,LF/M3.3.1599.20.AUS.M
2015-01-01,11608.3999748,ABS,LF/M3.3.1599.20.AUS.M
2015-02-01,11673.7000002,ABS,LF/M3.3.1599.20.AUS.M
2015-03-01,11693.57482944,ABS,LF/M3.3.1599.20.AUS.M
2015-04-01,11692.17237009,ABS,LF/M3.3.1599.20.AUS.M
2015-05-01,11733.59900095,ABS,LF/M3.3.1599.20.AUS.M
2015-06-01,11727.53803998,ABS,LF/M3.3.1599.20.AUS.M
2015-07-01,11760.49848403,ABS,LF/M3.3.1599.20.AUS.M
2015-08-01,11764.66487709,ABS,LF/M3.3.1599.20.AUS.M
2015-09-01,11783.90160242,ABS,LF/M3.3.1599.20.AUS.M
2015-10-01,11860.85580765,ABS,LF/M3.3.1599.20.AUS.M
2015-11-01,11893.57676769,ABS,LF/M3.3.1599.20.AUS.M
2015-12-01,11907.82837528,ABS,LF/M3.3.1599.20.AUS.M
2016-01-01,11912.63167936,ABS,LF/M3.3.1599.20.AUS.M
2016-02-01,11926.32423728,ABS,LF/M3.3.1599.20.AUS.M
2016-03-01,11941.80441278,ABS,LF/M3.3.1599.20.AUS.M
2016-04-01,11948.20255128,ABS,LF/M3.3.1599.20.AUS.M
2016-05-01,11941.84985076,ABS,LF/M3.3.1599.20.AUS.M
2016-06-01,11963.00700762,ABS,LF/M3.3.1599.20.AUS.M
