date,value,source,series_id
2020-01-01,19687.1,ABS,RT/all
2020-02-01,453.5,ABS,RT/all
2020-03-01,11960.6,ABS,RT/all
2020-04-01,708.9,ABS,RT/all
2020-05-01,165.3,ABS,RT/all
2020-06-01,172.4,ABS,RT/all
2020-07-01,30020.7,ABS,RT/all
2020-08-01,181.8,ABS,RT/all
2020-09-01,1991.5,ABS,RT/all
2020-10-01,2083.7,ABS,RT/all
2020-11-01,426.9,ABS,RT/all
2020-12-01,42.1,ABS,RT/all
2021-01-01,559.4,ABS,RT/all
2021-02-01,355.4,ABS,RT/all
2021-03-01,2961.1,ABS,RT/all
2021-04-01,1818.0,ABS,RT/all
2021-05-01,33.5,ABS,RT/all
2021-06-01,241.4,ABS,RT/all
2021-07-01,482.7,ABS,RT/all
2021-08-01,605.1,ABS,RT/all
2021-09-01,572.6,ABS,RT/all
2021-10-01,42.8,ABS,RT/all
2021-11-01,1136.5,ABS,RT/all
2021-12-01,1583.6,ABS,RT/all
2022-01-01,2.0,ABS,RT/all
2022-02-01,-1.0,ABS,RT/all
2022-03-01,902.7,ABS,RT/all
2022-04-01,-0.2,ABS,RT/all
2022-05-01,299.0,ABS,RT/all
2022-06-01,767.1,ABS,RT/all
2022-07-01,227.2,ABS,RT/all
2022-08-01,583.3,ABS,RT/all
2022-09-01,1071.8,ABS,RT/all
2022-10-01,255.2,ABS,RT/all
2022-11-01,989.4,ABS,RT/all
2022-12-01,275.8,ABS,RT/all
2023-01-01,702.2,ABS,RT/all
2023-02-01,418.6,ABS,RT/all
2023-03-01,1827.6,ABS,RT/all
2023-04-01,0.1,ABS,RT/all
2023-05-01,2287.8,ABS,RT/all
2023-06-01,139.3,ABS,RT/all
2023-07-01,686.5,ABS,RT/all
2023-08-01,246.8,ABS,RT/all
2023-09-01,7223.7,ABS,RT/all
2023-10-01,27.5,ABS,RT/all
2023-11-01,1926.6,ABS,RT/all
2023-12-01,107.4,ABS,RT/all
2024-01-01,57.6,ABS,RT/all
2024-02-01,621.9,ABS,RT/all
2024-03-01,189.1,ABS,RT/all
2024-04-01,32.9,ABS,RT/all
2024-05-01,952.2,ABS,RT/all
2024-06-01,38.6,ABS,RT/all
2024-07-01,508.9,ABS,RT/all
2024-08-01,139.1,ABS,RT/all
2024-09-01,0.1,ABS,RT/all
2024-10-01,661.0,ABS,RT/all
2024-11-01,4189.7,ABS,RT/all
2024-12-01,1080.9,ABS,RT/all
2025-01-01,6456.9,ABS,RT/all
2025-02-01,437.0,ABS,RT/all
2025-03-01,1717.3,ABS,RT/all
2025-04-01,160.1,ABS,RT/all
2025-05-01,473.1,ABS,RT/all
2025-06-01,0.4,ABS,RT/all
