date,value,source,series_id
2014-01-01,118.0,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2014-04-01,118.5,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2014-07-01,119.5,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2014-10-01,120.2,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2015-01-01,120.7,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2015-04-01,121.2,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2015-07-01,122.2,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2015-10-01,122.7,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2016-01-01,123.2,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2016-04-01,123.7,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2016-07-01,124.6,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2016-10-01,125.1,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2017-01-01,125.6,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2017-04-01,126.1,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2017-07-01,127.1,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2017-10-01,127.7,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2018-01-01,128.2,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2018-04-01,128.7,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2018-07-01,130.0,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2018-10-01,130.6,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2019-01-01,131.2,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2019-04-01,131.8,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2019-07-01,132.9,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2019-10-01,133.5,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2020-01-01,134.1,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2020-04-01,134.1,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2020-07-01,134.7,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2020-10-01,135.4,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2021-01-01,136.1,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2021-04-01,136.5,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2021-07-01,137.7,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2021-10-01,138.5,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2022-01-01,139.3,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2022-04-01,140.1,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2022-07-01,142.1,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2022-10-01,143.2,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2023-01-01,144.3,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2023-04-01,145.2,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2023-07-01,147.9,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2023-10-01,149.3,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2024-01-01,150.2,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2024-04-01,151.1,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2024-07-01,153.1,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2024-10-01,154.1,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2025-01-01,155.3,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2025-04-01,156.2,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2025-07-01,158.3,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2025-10-01,159.4,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2026-01-01,160.3,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
2026-04-01,161.2,ABS,WPI/1.THRPEB.7.TOT.10.AUS.Q
